titulo;metro_quadrato;qtd_quarto;qtd_banheiro;qtd_vaga_carro;valor
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 115.000
Apartamento com  Quarto à Venda, 35m²;35;1;1;1;R$ 115.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 115.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 115.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 115.000
Apartamento com 2 Quartos à Venda, 55m²;55;2;1;1;R$ 115.000
Apartamento com  Quarto à Venda, 16m²;16;1;1;--;R$ 115.000
Apartamento com 2 Quartos à Venda, 41m²;41;2;1;--;R$ 115.216
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;--;R$ 115.267
Apartamento com 2 Quartos à Venda, 41m²;41;2;1;1;R$ 115.274
Apartamento com 2 Quartos à Venda, 32m²;32;2;1;1;R$ 115.990
Apartamento com 2 Quartos à Venda, 36m²;36;2;1;--;R$ 116.216
Apartamento com 2 Quartos à Venda, 35m²;35;2;1;1;R$ 116.216
Apartamento com 2 Quartos à Venda, 54m²;54;2;1;1;R$ 116.600
Apartamento com 2 Quartos à Venda, 52m²;52;2;1;1;R$ 116.600
Apartamento com 2 Quartos à Venda, 55m²;55;2;1;1;R$ 117.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 117.000
Apartamento com 2 Quartos à Venda, 42m²;42;2;1;1;R$ 117.000
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;1;R$ 117.122
Apartamento com 2 Quartos à Venda, 36m²;36;2;1;--;R$ 119.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 119.000
Apartamento com 2 Quartos à Venda, 35m²;35;2;1;1;R$ 119.060
Apartamento com 2 Quartos à Venda, 60m²;60;2;1;1;R$ 119.070
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 119.310
Apartamento com 2 Quartos à Venda, 49m²;49;2;1;1;R$ 119.320
Apartamento com 2 Quartos à Venda, 39m²;39;2;1;1;R$ 119.320
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;1;R$ 119.370
Apartamento com 2 Quartos à Venda, 10m²;10;2;1;1;R$ 119.700
Apartamento com 2 Quartos à Venda, 36m²;36;2;1;1;R$ 119.700
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;--;R$ 119.731
Apartamento com 2 Quartos à Venda, 44m²;44;2;1;1;R$ 119.850
Apartamento com  Quarto à Venda, 45m²;45;1;1;1;R$ 119.900
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 119.900
Apartamento com  Quarto à Venda, 27m²;27;1;1;--;R$ 119.900
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 119.900
Apartamento com 2 Quartos à Venda, 65m²;65;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 56m²;56;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 52m²;52;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 53m²;53;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 120.000
Apartamento com  Quarto à Venda, 25m²;25;1;1;--;R$ 120.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;--;R$ 120.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 52m²;52;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;--;R$ 120.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 40m²;40;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 55m²;55;2;1;--;R$ 120.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 120.000
Apartamento com 3 Quartos à Venda, 52m²;52;3;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 120.000
Apartamento com  Quarto à Venda, 29m²;29;1;1;--;R$ 120.000
Apartamento com 2 Quartos à Venda, 35m²;35;2;1;--;R$ 120.000
Apartamento com 2 Quartos à Venda, 57m²;57;2;1;--;R$ 120.000
Apartamento com 3 Quartos para Venda/Aluguel 54m²;54;3;1;--;R$ 120.000
Apartamento com 2 Quartos para Venda/Aluguel 48m²;48;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 54m²;54;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 120.000
Apartamento com  Quarto à Venda, 30m²;30;1;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 120.000
Apartamento com 3 Quartos à Venda, 52m²;52;3;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 44m²;44;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 120.000
Apartamento com  Quarto para Venda/Aluguel 29m²;29;1;1;--;R$ 120.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 50m²;50;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 54m²;54;2;1;--;R$ 120.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 120.000
Apartamento com  Quarto à Venda, 10m²;10;1;1;--;R$ 120.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 120.000
Apartamento com  Quarto à Venda, 31m²;31;1;1;--;R$ 120.000
Apartamento com 2 Quartos à Venda, 48m²;48;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 58m²;58;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 120.000
Apartamento com  Quarto à Venda, 32m²;32;1;1;--;R$ 120.000
Apartamento com  Quarto à Venda, 24m²;24;1;2;--;R$ 120.000
Apartamento com 2 Quartos à Venda, 47m²;47;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 43m²;43;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 45m²;45;2;1;1;R$ 120.000
Apartamento com 2 Quartos à Venda, 46m²;46;2;1;--;R$ 120.000
